"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Rutledge, Jackson",671131,"WSH","FF","4-Seamer",-0.2,0,"157",45.4,"37","0.267","0.467","0.366",21.6,21.6,19,"0.215","0.454","0.342",52.2
"Bumgarner, Madison",518516,"AZ","FC","Cutter",-1,-1,"122",34.9,"37","0.375","0.5","0.424",16.4,13.5,13.5,"0.338","0.42","0.379",48.1
"Ober, Bailey",641927,"MIN","CUKC","Curveball",1.7,3,"155",6.7,"37","0.194","0.306","0.228",16.1,10.8,9.5,"0.27","0.438","0.311",37.5
"Kowar, Jackson",663804,"KC","SL","Slider",-3.1,-5,"149",26.2,"37","0.25","0.528","0.361",32.4,24.3,22.5,"0.189","0.376","0.248",40.7
"Garrett, Braxton",666129,"MIA","CUKC","Curveball",-4.4,-9,"206",8.3,"36","0.515","1.091","0.656",20.3,11.1,19,"0.369","0.731","0.469",60
"Silseth, Chase",681217,"LAA","SIFT","Sinker",3.2,4,"131",14.8,"36","0.344","0.469","0.393",14,8.3,21.4,"0.329","0.425","0.367",37.9
"Suarez, Robert",663158,"SD","SIFT","Sinker",5.3,6,"109",24.3,"36","0.086","0.114","0.129",15,19.4,24.1,"0.164","0.201","0.173",42.9
"Suarez, Robert",663158,"SD","FF","4-Seamer",-0.1,0,"164",36.5,"36","0.242","0.455","0.329",23.8,30.6,18.6,"0.242","0.457","0.33",45.5
"Criswell, Cooper",681867,"TB","FC","Cutter",2.3,3,"139",25.1,"36","0.242","0.364","0.324",15.8,2.8,8.3,"0.293","0.453","0.351",18.8
"Gilbert, Tyler",656457,"AZ","FC","Cutter",0.3,0,"122",46.4,"36","0.257","0.457","0.314",30.3,33.3,44.4,"0.27","0.496","0.334",39.1
"Martinez, Justin",679885,"AZ","FF","4-Seamer",-5.7,-8,"142",60.2,"36","0.44","0.76","0.569",16.7,11.1,13.8,"0.362","0.58","0.492",38.1
"Clarke, Taylor",664199,"KC","CH","Changeup",-2.9,-5,"164",15.4,"36","0.387","0.613","0.461",31.6,22.2,19,"0.269","0.493","0.366",33.3
"Strzelecki, Peter",657265,"AZ","CH","Changeup",1,1,"116",17.8,"36","0.235","0.294","0.258",20.4,16.7,18.2,"0.27","0.384","0.306",28.6
